element_id,player_name,round,fixture,was_home,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goals_conceded,total_points
15,Nichols,11,108,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,12,111,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,13,123,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,14,131,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,15,141,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,Saka,1,9,False,90,0,0,1,0,0,0,0,7,12.0,16.4,7.0,3.5,0.15,0.09,1.52,3
16,Saka,2,11,True,52,1,0,0,0,0,0,0,27,40.4,30.4,21.0,9.2,0.11,0.03,0.17,6
16,Saka,3,25,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,Saka,4,31,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,Saka,5,41,True,45,0,0,0,0,0,0,0,7,5.6,32.3,7.0,4.5,0.04,0.21,0.34,1
16,Saka,6,58,False,69,0,0,0,1,0,0,0,10,4.4,11.4,30.0,4.6,0.08,0.01,0.53,2
16,Saka,7,61,True,90,1,0,1,0,0,0,0,22,38.8,23.6,31.0,9.3,0.84,1.11,0.49,8
